request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
# RESET
# BEGIN TEST CLASS "TestReplayer"
# BEGIN TEST CASE "test"
"ea69b925-6ca5-e22f-bacc-6cea5afa0013",GET,/,"debug=true&language=en",,302,,,,772156425221800,772156496413800,772156500986800
"0ee789e6-9cd3-c673-c1de-e11db2d6da18",GET,/any/system/welcome,,,200,text/html;charset=utf-8,banner=87,,772156530832900,772156541859000,772160810746700
"c0e0b5b9-77e0-5d46-cc41-eb74caabb966",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,772160970162800,772160979964200,772160981557500
"d9e1657e-4c25-c1ec-f11c-0e27b9a11aa8",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,772161008153300,772161010773300,772161012010700
"67b0b626-bd00-bab1-5fca-ccdc233440aa",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,772161038995600,772161041578600,772161042847300
"474f94a3-69b5-dbdc-8aeb-62b09858dba1",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,772161071010100,772161073522600,772161074813300
"17cf08c9-c01d-2541-39db-bb239033e11f",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,772161102511800,772161104825500,772161105973000
"0d51458a-1c8b-39e9-ba82-0047f9949186",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,772161134610100,772161137976800,772161139564300
"6080f0a5-1795-32a4-5905-ba999d49b60a",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,772161166733300,772161169962000,772161171370900
"8e4ce0f2-a9c4-9e2e-382d-83ca2e739044",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,772161196330500,772161198623100,772161199669300
"2bbf66f5-c3a8-cb24-9a68-9a76d18575b2",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,772161228950800,772161232123300,772161233440700
"f4448e80-7a40-478b-bae2-66609183e015",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,772161259547300,772161261528900,772161262313800
